0xc3732a,Neon brown
0xffa343,Neon Carrot
0x00fefc,Neon cyan
0xfe4164,Neon fuchsia
0xcfaa01,Neon gold
0x808080,Trolley Grey
0x008443,Neon dark green
0x139b42,Neon green
0x39ff14,Neon green
0xfe347e,Neon pink
0xff1818,Neon red
0xff2603,Neon scarlet
0xcccccc,Neon silver
0xf6890a,Neon tangerine
0xfff700,Yellow Sunshine
0x214fc6,New Car
0xd7837f,New York pink
0x727472,Nickel
0xa4dded,Non-photo blue
0x059033,North Texas Green
0xe9ffdb,Nyanza
0x4f42b5,Ocean Blue
0x0077be,Ocean Boat Blue
0x48bf91,Ocean Green
0xcc7722,Ochre
0x008000,Office green
0xfd5240,Ogre Odor
0x43302e,Old burgundy
0xcfb53b,Old gold
0x563c5c,Old heliotrope
0xfdf5e6,Old lace
0x796878,Old lavender
0x673147,Wine dregs
0x867e36,Old moss green
0xc08081,Old rose
0x848482,Old silver
0x808000,Olive
0x6b8e23,Olive Drab (#3)
0x3c341f,Olive Drab #7
0xb5b35c,Olive green
0x9ab973,Olivine
0x353839,Onyx
0xa8c3bc,Opal
0xb784a7,Opera mauve
0xff6600,Orange
0xff7f00,Orange (color wheel)
0xff7538,Orange (Crayola)
0xff5800,Orange (Pantone)
0xfb9902,Orange (RYB)
0xffa500,Orange (web)
0xff6700,Safety orange (blaze orange)
0xff9f00,Orange peel
0xff681f,Red-orange (Crayola)
0xff5349,Red-orange
0xe74e14,Orange soda
0xfa5b3d,Orange Soda
0xf5bd1f,Orange-yellow
0xf8d568,Orange-yellow (Crayola)
0xda70d6,Orchid
0xf2bdcd,Orchid pink
0xe29cd2,Orchid (Crayola)
0xfb4f14,Orioles orange
0x654321,Otter brown
0x414a4c,Outer Space
0x2d383a,Outer Space (Crayola)
0xff6e4a,Outrageous Orange
0x800020,Oxblood
0x002147,Oxford Blue
0x6d9a79,Oxley
0x990000,USC Cardinal
0x1ca9c9,Pacific Blue
