0x544e03,green brown
0x017a79,bluegreen
0x01f9c6,bright teal
0xc9b003,brownish yellow
0x929901,pea soup
0x0b5509,forest
0xa00498,barney purple
0x2000b1,ultramarine
0x94568c,purplish
0xc2be0e,puke yellow
0x748b97,bluish grey
0x665fd1,dark periwinkle
0x9c6da5,dark lilac
0xc44240,reddish
0xa24857,light maroon
0x825f87,dusty purple
0xc9643b,terra cotta
0x90b134,avocado
0x01386a,marine blue
0x25a36f,teal green
0x59656d,slate grey
0x75fd63,lighter green
0x21fc0d,electric green
0x5a86ad,dusty blue
0xfec615,golden yellow
0xfffd01,bright yellow
0xdfc5fe,light lavender
0xb26400,umber
0x7f5e00,poop
0xde7e5d,dark peach
0x048243,jungle green
0xffffd4,eggshell
0x3b638c,denim
0xb79400,yellow brown
0x84597e,dull purple
0x411900,chocolate brown
0x7b0323,wine red
0x04d9ff,neon blue
0x667e2c,dirty green
0xfbeeac,light tan
0xd7fffe,ice blue
0x4e7496,cadet blue
0x874c62,dark mauve
0xd5ffff,very light blue
0x826d8c,grey purple
0xffbacd,pastel pink
0xd1ffbd,very light green
0x448ee4,dark sky blue
0x05472a,evergreen
0xd5869d,dull pink
0x3d0734,aubergine
0x4a0100,mahogany
0xf8481c,reddish orange
0x02590f,deep green
0x89a203,vomit green
0xe03fd8,purple pink
0xd58a94,dusty pink
0x7bb274,faded green
0x526525,camo green
0xc94cbe,pinky purple
0xdb4bda,pink purple
0x9e3623,brownish red
0xb5485d,dark rose
0x735c12,mud
0x9c6d57,brownish
0x028f1e,emerald green
0xb1916e,pale brown
0x49759c,dull blue
0xa0450e,burnt umber
0x39ad48,medium green
0xb66a50,clay
0x8cffdb,light aqua
0xa4be5c,light olive green
0xcb7723,brownish orange
0x05696b,dark aqua
0xce5dae,purplish pink
0xc85a53,dark salmon
0x96ae8d,greenish grey
0x1fa774,jade
0x7a9703,ugly green
0xac9362,dark beige
0x01a049,emerald
0xd9544d,pale red
0xfa5ff7,light magenta
0x82cafc,sky
0xacfffc,light cyan
0xfcb001,yellow orange
0x910951,reddish purple
0xfe2c54,reddish pink
0xc875c4,orchid
0xcdc50a,dirty yellow
0xfd411e,orange red
0x9a0200,deep red
0xbe6400,orange brown
0x030aa7,cobalt blue
